_id,EntryId,TIME,CoordinateX,CoordinateY,WIFI_SSID,WIFI_BSSID,WIFI_LEVEL
61,1,20220401_152441,0.0,0.0,eduroam,b8:3a:5a:bc:1e:e0,-77
62,1,20220401_152441,0.0,0.0,Visit-Ed,b8:3a:5a:bb:ec:e2,-78
63,1,20220401_152441,0.0,0.0,Visit-Ed,b8:3a:5a:bc:1e:e2,-78
64,1,20220401_152441,0.0,0.0,central,b8:3a:5a:bc:1e:e1,-79
65,1,20220401_152441,0.0,0.0,eduroam,04:da:d2:28:60:a1,-80
66,1,20220401_152441,0.0,0.0,central,04:da:d2:28:60:a0,-81
67,2,20220401_152459,0.0,1.56,Visit-Ed,b8:3a:5a:ba:60:62,-78
68,2,20220401_152459,0.0,1.56,eduroam,b8:3a:5a:ba:69:a0,-78
69,2,20220401_152459,0.0,1.56,central,b8:3a:5a:ba:60:61,-79
70,2,20220401_152459,0.0,1.56,eduroam,b8:3a:5a:bc:1e:e0,-79
71,2,20220401_152459,0.0,1.56,central,b8:3a:5a:ba:69:a1,-80
72,2,20220401_152459,0.0,1.56,Visit-Ed,b8:3a:5a:bc:1e:e2,-80
73,2,20220401_152459,0.0,1.56,Visit-Ed,b8:3a:5a:ba:69:a2,-80
74,2,20220401_152459,0.0,1.56,eduroam,b8:3a:5a:ba:c3:a0,-81
75,2,20220401_152459,0.0,1.56,eduroam,b8:3a:5a:ba:60:60,-81
76,2,20220401_152459,0.0,1.56,central,b8:3a:5a:bc:1e:e1,-82
77,2,20220401_152459,0.0,1.56,central,b8:3a:5a:ba:c3:a1,-86
78,2,20220401_152459,0.0,1.56,Visit-Ed,b8:3a:5a:ba:c3:a2,-86
79,2,20220401_152459,0.0,1.56,DIRECT-qVPhaser 3330,9e:93:4e:73:de:22,-86
80,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:bc:1e:e2,-70
81,3,20220401_152641,0.0,4.58,eduroam,b8:3a:5a:bc:1e:e0,-70
82,3,20220401_152641,0.0,4.58,central,b8:3a:5a:bc:1e:e1,-72
83,3,20220401_152641,0.0,4.58,central,b8:3a:5a:ba:69:a1,-74
84,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:ba:69:a2,-74
85,3,20220401_152641,0.0,4.58,eduroam,b8:3a:5a:bb:ec:e0,-76
86,3,20220401_152641,0.0,4.58,central,b8:3a:5a:bb:ec:e1,-78
87,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:bb:ec:e2,-78
88,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:ba:60:62,-78
89,3,20220401_152641,0.0,4.58,DIRECT-68-HP ENVY 5000 series,f6:39:09:fb:f6:68,-82
90,3,20220401_152641,0.0,4.58,DIRECT-qVPhaser 3330,9e:93:4e:73:de:22,-82
91,3,20220401_152641,0.0,4.58,central,b8:3a:5a:bb:ec:f1,-85
92,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:bc:1e:f2,-85
93,3,20220401_152641,0.0,4.58,eduroam,b8:3a:5a:ba:69:b0,-86
94,3,20220401_152641,0.0,4.58,Visit-Ed,b8:3a:5a:ba:69:b2,-86
95,3,20220401_152641,0.0,4.58,central,b8:3a:5a:bc:1e:f1,-86
96,3,20220401_152641,0.0,4.58,eduroam,b8:3a:5a:bc:1e:f0,-86
97,3,20220401_152641,0.0,4.58,central,b8:3a:5a:ba:69:b1,-87
98,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:69:a2,-66
99,4,20220401_152742,0.0,5.9,central,b8:3a:5a:ba:69:a1,-67
100,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:bb:ec:e0,-68
101,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:ba:69:a0,-68
102,4,20220401_152742,0.0,5.9,Innspace,00:ad:24:59:bd:40,-70
103,4,20220401_152742,0.0,5.9,central,b8:3a:5a:bb:ec:e1,-71
104,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:bb:ec:e2,-71
105,4,20220401_152742,0.0,5.9,central,b8:3a:5a:bc:1e:e1,-74
106,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:bc:1e:e2,-74
107,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:bc:1e:e0,-76
108,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:bb:ec:f0,-77
109,4,20220401_152742,0.0,5.9,central,b8:3a:5a:bb:ec:f1,-77
110,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:bb:ec:f2,-77
111,4,20220401_152742,0.0,5.9,DIRECT-68-HP ENVY 5000 series,f6:39:09:fb:f6:68,-79
112,4,20220401_152742,0.0,5.9,DIRECT-qVPhaser 3330,9e:93:4e:73:de:22,-80
113,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:c3:a2,-81
114,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:ba:69:b0,-81
115,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:69:b2,-81
116,4,20220401_152742,0.0,5.9,central,b8:3a:5a:ba:69:b1,-82
117,4,20220401_152742,0.0,5.9,central,b8:3a:5a:ba:c3:a1,-83
118,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:60:62,-84
119,4,20220401_152742,0.0,5.9,central,b8:3a:5a:ba:69:01,-84
120,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:69:02,-84
121,4,20220401_152742,0.0,5.9,Visit-Ed,b8:3a:5a:ba:60:72,-87
122,4,20220401_152742,0.0,5.9,Innspace,00:ad:24:59:bd:42,-88
123,4,20220401_152742,0.0,5.9,eduroam,b8:3a:5a:ba:60:70,-88
124,4,20220401_152742,0.0,5.9,central,b8:3a:5a:ba:60:71,-89
125,5,20220401_152821,0.0,7.92,central,b8:3a:5a:ba:69:a1,-66
126,5,20220401_152821,0.0,7.92,Visit-Ed,b8:3a:5a:ba:69:a2,-66
127,5,20220401_152821,0.0,7.92,eduroam,b8:3a:5a:ba:69:a0,-67
128,5,20220401_152821,0.0,7.92,Innspace,00:ad:24:59:bd:40,-67
129,5,20220401_152821,0.0,7.92,eduroam,b8:3a:5a:bb:ec:e0,-70
130,5,20220401_152821,0.0,7.92,eduroam,b8:3a:5a:bb:ec:f0,-71
